id,title,field,value,tekstgrond
92359,FaunaWood,sustainably_produced,yes,ic appearance that blends well with nature. The wood comes from sustainably managed forests in Europe with an FSC® or PEFC certificate. FaunaWood has a good balance with the lifespan of additional products such as mesh and
51480,FeelingWood wood fibre insulation,sustainably_produced,yes,FeelingWood is dimensionally stabile and flexible insulation board made from FSC certified wood fibre. Wood fibre has naturally high heat storage capacity. The insulation provides a better i
25642,FibreForm,sustainably_produced,yes,ause the paper has a fairly open structure. Fibre Form has both a Bfr36.2 for contact with food along with an FSC certification for the sustainable management of forests.
121095,Finti,sustainably_produced,yes,"ftwood (pine and spruce) with a number of special advantages. The wood is sourced in Finland and Letland from FSC®- and PEFC®-certified forests. With its exterior class 2, it is more durable than many traditional tropical w"
47171,Flax wall core,sustainably_produced,yes,"ibilities in new developments, refurbishments and transformations. For retail, industrial premises and homes. FSC on flax please! When it comes to sustainable building, in particular, construction materials made from renewa"
2688,Flexible Wood Covering,sustainably_produced,yes,"f veneer, including the back self adhesive. The variety of species is all natural or engineered veneer having FSC certification. The product comes in sheets of 61×244 cm. The sheet can only be used indoors, applied directly"
129734,Forestlines®,sustainably_produced,yes,"high-quality aluminium profiles. The timber, selected for its durability and dimensional stability, includes FSC-certified species and promotes biodiversity through the use of Lesser Known Timber Species (LKTS). The alumin"
39773,Gama Duo Nude Texture,sustainably_produced,yes,"0 different textures and the unique SuperPan E-Z baseboard complete the collection. By default, everything is FSC-certified. Matching laminates and edgebanding are available upon request. Please do not hesitate to ask FINSA"
67115,Hyperion wood composite,sustainably_produced,yes,"cking material is anti-slip and reversible. Hyperion is a wood-polymer composite made from 60% recycled wood (FSC Certified) and 40% recycled High Density Polyethylene, environmentally gentle bonding agent, additives and ti"
21110,KAPA®,sustainably_produced,yes,"ing layers, using a technology which is unique worldwide. Most of the paper used in our production is already FSC® certified. The FSC® label stands for a […] KAPA® is a high-quality lightweight foamboard with a polyurethane"
2792,Kaurit® Light technology,sustainably_produced,yes,"ycled like standard particle boards. Various green certification levels are available, such as LEED, PEFC and FSC. Applications are traditional furniture construction, furniture for use in moist rooms and tradeshow and comm"
118458,Kebony Character,sustainably_produced,yes,"Kebony Character delivers wooden boards with a rustic flair. Character is made from FSC® certified Pinus sylvestris. The boards can be cut to length, the ends should be sealed. Cladding: Kebony is"
118450,Kebony Clear,sustainably_produced,yes,"commercial properties. The discreet grain creates a harmonious overall appearance. Kebony Clear is made from FSC® certified Pinus radiata. The wood is fully impregnated, making it as durable and strong as any hardwood. Cla"
129727,Lariks Hollands Hout facade cladding,sustainably_produced,yes,The larch facade cladding from the Outdoor Collection of Hollands Hout is made of FSC®-certified larch wood from the forests of Staatsbosbeheer. This tree produces tough wood with a high core con
30332,Latho Relief Panels,sustainably_produced,yes,"cknesses are 1.2 mm to 50 mm, with thicker panels available on request. In term of environmental performance, FSC is available upon request. The unique structures of Latho are also available in a ready-made door panel. The"
120058,lisocore®,sustainably_produced,yes,h high resistance to bending high dimensional stability low thickness tolerance high edge stability PEFC- and FSC-certified.
57515,Mohair & Kaschmir paper,sustainably_produced,yes,red by the soft fabrics mohair and cashmere. Mohair and Kaschmir paper are both soft to the touch and have an FSC certification. Mohair is velvety soft and is available in matte or embossed. Kaschmir is made with 50% cotton
1919,MOSO Bamboo Industrial Flooring,sustainably_produced,yes,"n request MOSO Bamboo Industrial Flooring can be provided with Formaldehyde free adhesive (E0, NAUF) and with FSC certification for additional BREEAM and LEED credits."
19954,MOSO Bamboo Solid Beam,sustainably_produced,yes,"On request MOSO Bamboo Computer Flooring can be provided with Formaldehyde free adhesive (E0, NAUF) and with FSC certification for additional BREEAM and LEED credits."
2556,MOSO Bamboo Solid Panel,sustainably_produced,yes,"l styles (Side Pressed, Plain Pressed, High Density). Furthermore, on request the panels can be supplied with FSC-label and formaldehyde free adhesive (E0 norm). Up to five layers of bamboo are pressed on top of each other"
20239,MOSO Bamboo Tiger Panel,sustainably_produced,yes,"es, furniture, table tops and kitchens. Furthermore, on request MOSO Bamboo Solid Panels can be supplied with FSC-label and formaldehyde free adhesive (E0 norm). Key characteristics of MOSO Bamboo Tiger Panel Sustainable, e"
2544,Moso Bamboo Veneer,sustainably_produced,yes,"lours (natural, caramel) and styles (side pressed, plain pressed). On request the veneer can be supplied with FSC-label and formaldehyde free adhesive (E0 norm)."
135631,No-Waste® Floor,sustainably_produced,yes,"135 mm with a thickness of 13–13.5 mm. The construction consists of a 4.5 mm No-Waste® top layer bonded to an FSC-certified backing board using formaldehyde-free adhesive. Variations in colour tones, wood species and hardne"
135627,No-Waste® Wall,sustainably_produced,yes,decorative and architectural surface. The construction consists of a 4.5 mm No-Waste® top layer bonded to an FSC-certified backing board using formaldehyde-free adhesive. The No-Waste® Wall by HERSO is a circular wall clad
20626,NobelWood,sustainably_produced,yes,"calculating the environmental impact based on ‘cradle to grave’ calculations. Ecological and sustainable with FSC or PEFC NobelWood offers a renewable building material based on fast growing pine, sourced in sustainably man"
110993,Noir® thermodified wood,sustainably_produced,yes,"it always needs an extra treatment. Dabé Noir®, the other new Noir specie, is thermally modified Dabema. This FSC certified species has a vivid and exclusive appearance. The drawing in the timber makes you think ‘Oak’. Just"
133967,OrganicBoard,sustainably_produced,yes,"radle Certified™, reflecting its focus on material health and circularity. Additional certifications, such as FSC® or PEFC™, are available on request."
125736,Organoid® WILDSPITZE GOLD,sustainably_produced,yes,alive hay has a positive impact on our climate: 1 kg hay binds approx. 0.45 kg CO2 Golden paper backing: The FSC-certified paper is a real eye-catcher in interior design. The golden material is part of the tasteful design
56139,Paper Factor,sustainably_produced,yes,"Paper Factor is a solid surface material made from a new compound of micro-paper, made from recycled or FSC certified wood. The material is strong, durable, and light. Available in various formats, colours and combina"
2460,Paper Range,sustainably_produced,yes,A non woven FSC certified sustainable wall covering that is a combination of pulp sourced from a sustainable forest and polye
2499,PaperLite,sustainably_produced,yes,"us PaperLite has a real natural paper look and feel. The packaging material is based on Billerud FibreForm, a FSC certified thermoformable base web with real natural paper. It contains no iso-cyanates or solvents and is app"
63701,Papermilk,sustainably_produced,yes,") and wood-free primary pulp from responsible sources, Papermilk is tactile paper with a velvety feel that is FSC certified. The material is suitable for most popular printing and finishing techniques: offset, offset with U"
1611,Paperstone,sustainably_produced,yes,re takes far less energy and uses renewable resources unlike traditional materials. PaperStone Certified is a FSC certified product that has been approved by SmartWood and the Rainforest Alliance. The water absorption is le
2003,Pavatex woodfibre insulation boards,sustainably_produced,yes,"erials and result in no pollutant emissions. The raw material resources are entirely renewable, unlimited and FSC certified. There are many sizes and thicknesses available."
1922,Purebond hardwood plywood,sustainably_produced,yes,"terial is even more water resistant than UF panels, with better waterproof performance. Also available with a FSC Certification. This hard plywood material is manufactured without any added formaldehyde. Columbia replaced t"
48493,Recycled wood laminate,sustainably_produced,yes,This recycled wood laminate is completely made from waste wood and recycled wood. All waste wood has an FSC quality label. The glue used was developed by Herso and is biodegradable. The floor can be used in BREEAM pro
2567,Richlite Cascade,sustainably_produced,yes,Richlite Cascade panels are made of a FSC-certified recycled paper composite that is weather resistant. Cascase panels consist of several layers in dif
2570,Richlite Northwest,sustainably_produced,yes,"Richlite Northwest are pressed panels, consisting of FSC certified or post-consumer recycled paper, or quickly renewable vegetable fibres. Several series also contain"
2568,Richlite Rainshadow,sustainably_produced,yes,"Richlite Rainshadow is made of FSC-certified recycled paper, pressed into weather resistant panels. The combination of the paper colour and the"
107124,RUSTICORK cork tiles,sustainably_produced,yes,"es when burning; No harmful chemicals; Natural, biodegradable and recyclable product. PRODUCT CERTIFICATIONS: FSC® certified (available upon request); Certification for low chemical emissions GreenGuard GOLD; Compliance wit"
20426,SafeWood (Color),sustainably_produced,yes,European Standards (Euroclass C/B) The timber comes from sustainable managed forests which earns it a PEFC or FSC certificate. Typical end use examples for SafeWood (Color): Permanent constructions: residential and commerci
134881,Sakaide,sustainably_produced,yes,are then carefully brushed and treated. Sakaide is made from the Douglas fir. A type of wood originating from FSC® certified forests in the Netherlands. The knots give the wood an extra uneven effect. During the charring pr
42718,Shiro paper,sustainably_produced,yes,"he fibres from annual plants such as bamboo, cotton or bagasse. Because there is no tree content, there is no FSC certification. Shiro Echo is the highest quality recycled paper. Produced from 100% post-consumer recycled wa"
20016,Siberian larch WaxedWood Cladding,sustainably_produced,yes,to warm rich brown to silver grey. The wood used comes from sustainable managed forests earning the product a FSC or PEFC label. The timber has been comprehensively assessed for LCA also has the Dutch Dubokeur and Komo cert
2531,SIERRA,sustainably_produced,yes,real wood while providing a protective seal. The top layer of the engineered boards consists of European oak (FSC available on request). The backing is made of FSC birch plywood. No added urea formaldehyde plywood is used.
55314,SuperPan E-Z,sustainably_produced,yes,"ard for various decorative collections from FINSA, such as Gama Duo and Studio Collection and is available in FSC Mixed Credit and 100% PEFC certified. In addition, the board has a very low-formaldehyde emission and is CARB"
29609,SuperPan Star,sustainably_produced,yes,"s, bathrooms, offices, as well as stands, interior doors, wardrobe doors, and many, many more. Available with FSC and PEFC certificate. SuperPan Star complies with the P2 standards for constructional boards."
121481,SWEDBOARD® Fibre,sustainably_produced,yes,"4 metres enable increased productivity, reduced waste and unprecedented design flexibility. All materials are FSC®-certified […] SWEDBOARD® Fibre is a paper-based rigid board that offers a fully recyclable alternative for d"
28507,Tabu Veneer,sustainably_produced,yes,"u reconstructed veneer provides consistency of grain in a natural or engineered grain structure with Ecozero- FSC 100% Pure Reconstituted Veneer and Formaldehyde Free, Ecoligna- FSC 100% Pure Natural Dyed Veneer and Formald"
52221,Texacoustic,sustainably_produced,yes,"Texacoustic type 955.001/N00* is a versatile acoustic textile. The material is made from cotton and FSC certified Modal, finsihed with 100% biodegradable flame retardant and dyes. The textile can be used for (thea"
40625,Timber terrazzo,sustainably_produced,yes,Foresso uses high quality FSC british timber that is unusable for joinery due to defects or odd sizing to create a versatile surface materi
2071,Timber-Sil,sustainably_produced,yes,"aracter of each piece. Characteristics: Barrier to rot, decay and insects, non-toxic, class-A Fire Retardant, FSC Certified, Paintable and stainable, easy to cut and machine, unaffected by seawater, increased structural sta"
107114,TRADITION Cork floor tiles,sustainably_produced,yes,recyclable product; Contains no PVC and no softeners or other substances hazardous to health or environment; FSC® certified (on request). APPLICATIONS With a wide variety of natural textures and the possibility to customis
136418,UPM Circular Renewable Black™,sustainably_produced,yes,"larly in packaging. The material is derived from lignin, a natural polymer found in wood, and is sourced from FSC™ and PEFC-certified forests. UPM Circular Renewable Black™ is a biobased black pigment developed by UPM Bioch"
18563,UPM Formi,sustainably_produced,yes,ning 80% to 50% made of polypropylene or a corresponding polymer matrix. The Formi material can be made using FSC or PEFC certified fibres to provide reinforcement and which allow for material and weight reduction. Its carb
175,"Veneer, moulded / rotary cut",sustainably_produced,yes,"The bulk of Hess peeled veneer orginates from FSC or PEFC certified forests. Moulding, pressing and 5+6-axes CNC technology make it possible to manufacture com"
106550,Vingui Noir,sustainably_produced,yes,"used for several outdoor applications, but is mainly used for facade cladding. The Movingui we use comes from FSC certified forests.​​​​ The thermal modification process at Vingui Noir During thermal modification, the Movin"
2514,Wall panel 067,sustainably_produced,yes,"nel creates simple repeating forms. The wool felt is precisely assembled on the panel, consisting of a sturdy FSC certified plywood. Each piece is made by hand. Neutral and monochromatic industrial felt on a sub-panel creat"
1690,Wood paper,sustainably_produced,yes,"sing, hot foil stamping, paper etching, and die cutting. The cellulose used in the production of the paper is FSC certified."
128588,WoodFrame Slim Oak PreConsumer,sustainably_produced,yes,"ich are laminated and finger-jointed. A unique and eco-friendly product of European origin, certified by 100% FSC®. WoodFrame Slim is a glass partition system characterised by slender 60 mm solid oak profiles. Developed for"
128579,WoodFrame Slim Reclaimed Meranti PostConsumer,sustainably_produced,yes,into new profile elements. The timber is finger-jointed and laminated to create structural profiles that are FSC® Recycled certified. The resulting material retains the character of reclaimed wood while meeting the require
115910,Yoroi,sustainably_produced,yes,akes Yoroi ideally suited as a sustainable façade cladding. Yoroi also stands out indoors. Yoroi is made from FSC® thermally modified bamboo from China. Planks are made by compressing bamboo fibres. The bamboo planks are th
2162,Zanders paper Collection,sustainably_produced,yes,"tallic pigments can be added to create special designs. The paper is produced from 90% chlorine-free bleached FSC (Forest Stewardship Council) certified pulp and 10% pigments, fillers and additives. In part, the products ar"
