id,title,theme_ids_old,theme_ids_new,channels_new_readable,motivering
30009,Basalt Tiles,68|75,75,New Making,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
21329,Base Superbo,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
42133,Baswa acoustic plaster,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
111569,BELEAF,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
33812,Bespoke 3D Leather,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
121102,Betonlook paint,68,2511,Healthy & Non-Toxic,"dampopen, luchtzuiverend, draagt bij aan een gezond binnenklimaat"
1892,Bia Metallic,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
70864,Big Mesh,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
126641,Bio-receptive 3D printed ceramics,68,68|2601,Biophilic & Human-Centred | Living Materials,"§4 3D-geprinte klei met levend mos — nieuw channel Living Materials, afgesplitst van Bio-based"
99464,Biological grown material,79|68|916,79|916,Bio-based & Living Materials | Circular,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
113114,Bioplastics from Organic Waste,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
134444,Birch Forest,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
127428,BirdShades bird protection window film,68|69,68|69|2456,Biophilic & Human-Centred | Smart & Responsive | Regenerative,BirdShades: raamfolie tegen vogelsterfte
235,Bisazza Mosaico Mix,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
1020,Black Heart,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
55189,Black MDF – Fibracolour Negro,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
114665,Blend,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
18926,BlingCrete light reflecting concrete,68|75|69,75|69,New Making | Smart & Responsive,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1357,Blobb Tiles,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
71289,Blown-up weave 2D & 3D,68,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
113752,Bog Oak,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
105982,Bois Larmé,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
290,Bolidt Flooring,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
60641,BorjaJet roof tiles,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1349,Both,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
134626,Botticino Classico marble,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
29433,Brass & Copper,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
57002,Breathaboard,79|68,79|2511,Bio-based & Living Materials | Healthy & Non-Toxic,"reguleert vocht, vermindert luchtvervuiling en gezondheidsklachten"
56993,Breathaplasta wall plaster,917|79|68,917|79|2511,Acoustic | Bio-based & Living Materials | Healthy & Non-Toxic,remt schimmelgroei en vocht; de tekst benoemt astma en allergenen
36638,Brick,68|76,76|2471,Translucency | Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
28472,Bricola collection,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
86761,Bruciato,68,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
120675,Burned Wood,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
128533,BurntWood ReUse,68|916,916,Circular,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
64112,Butong bubble concrete,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
48092,Béton Picturale,68|75,75,New Making,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
113151,CaNaDry lime hemp mix,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1567,Carpet tile,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
27484,Carpets from Robusta,79|68,79,Bio-based & Living Materials,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1913,Carrelage,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
1645,Cast Glass,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
111320,Cellular – the breathing facade tile,68,68|2601,Biophilic & Human-Centred | Living Materials,"§4 levende algen groeien op de geveltegel — nieuw channel Living Materials, afgesplitst van Bio-based"
134810,Ceramic Facing Bricks,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
50573,Ceramic sand,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
36732,Ceramic surface,68,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
48786,Chameleon Beads,68,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
58333,Chameleon collection,68,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
128634,Changeable Reflective Textiles,68|73,73,Material Futures,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
120737,Chipps design OSB,917|68|2453,917|2453,Acoustic | Timber,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2363,Chroma,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
76534,Chromashine,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
95881,Circular Modular carpets,68|916,916,Circular,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
103268,Claylime natural plasters,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2346,Cleaf,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
74949,Clear TPU flock,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1692,Cloud Softlight,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
30217,Club,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2282,Coated Aluminium,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
1793,Cocoon Mesh,68|916,916,Circular,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
60118,Collection AKOESTIEK,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
56130,ColorBlast solar panels,68|69,69,Smart & Responsive,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
26837,ColorCore® by Formica Group,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
107330,ColorCore® Compact by Formica Group,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2741,Colored Rigidized Textures,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2714,Colour Anodized Titanium,68|2455|69,2455|69,Energy & Resilience | Smart & Responsive,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
59577,Colour Chips Glass,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
2547,Colour Line,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
34464,Colour Panels,68,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
29406,CompacMel Plus,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
56645,Complite,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
71246,Compose handwoven textile,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
42918,Composite stone,917|68,917,Acoustic,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
132053,Composite Stone – Façade cladding,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
132044,"Composite Stone – Type X – Wall cover, Window sill and Band course",68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
132035,Composite Stone – Window or door surrounding,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
132026,Composite Stone – Window sill (interior and exterior),68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
35353,CON-Cover,68|77,77,Lightweight,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
39157,Concrete skin,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
46182,Concrete skin vintage,68,NONE,geen,"§4.4 geen welzijns- of natuurbelevingsclaim; patroonbesluit 19-08, bevestigd door de redactie 25-08"
18176,Concrete-Silicone,,2471,Sense & Sensibility,"§4 de tekst benoemt zelf een uitgesproken zintuiglijke eigenschap als propositie — reliëf, textuur, lichtwerking, tactiliteit, geur of kleur die met de kijkhoek verandert"
