wp_id,titel,huidig_type,type_voorstel,type_zekerheid,channels_voorstel,channels_zekerheid,geen_channel_reden,motivering
82290,Bonding technology Biflex,Coatings,Coatings,midden,,midden,generiek,§3.4 lijmfilm; grensgeval lijmen
125067,Brightbond®,Coatings,Coatings,midden,Bio-based & Living Materials,midden,,§3.4 100% biobased lijm; grensgeval lijmen
2361,Ceramic Steel,Coatings,Metals,midden,,midden,generiek,§3.1 staal met ingebrande emaillaag; het staal draagt de identiteit
1463,Chameleon Fabrics,Coatings,Coatings,midden,Smart & Responsive,midden,,§3.4 chemische oppervlaktebehandeling op textiel; kleurverschuiving
99171,"CircuGlue Light, Medium, Heavy",Coatings,Coatings,midden,Circular,midden,,§3.4 lijm; losmaakbaarheid expliciet. Grensgeval lijmen
40451,Design concrete,Coatings,Coatings,midden,,midden,generiek,"§3.4 2 mm opgebrachte laag, geen gietmateriaal; §3.1 betonlook maakt geen Concrete"
96314,DORSUM®,Coatings,Coatings,midden,New Making,midden,,§3.4 afwerkproces — de tekst zegt zelf dat het geen grondstof is
79630,Dream bonding technology,Coatings,Coatings,midden,,midden,generiek,§3.4 lijmtapes en -films; grensgeval lijmen
2308,Flexible Sandstone,Coatings,Natural Stones,midden,,midden,generiek,§3.1 zandsteen draagt de identiteit; de katoenen rug is drager
2396,FlexSandStone,Coatings,Natural Stones,midden,,midden,generiek,§3.1 zandsteen draagt de identiteit; natuurvezel en hars zijn drager
135327,G-Bioglue,Coatings,Coatings,midden,Bio-based & Living Materials | Net Zero & Carbon,midden,,§3.4 biobased lijm; 25% lagere CO2 concreet geclaimd. Grensgeval lijmen
70993,Hand-marbled fabrics,Coatings,Bio-based (excl. Wood),midden,Bio-based & Living Materials | New Making,midden,,"§3.1 het textiel (zijde en katoen) draagt de identiteit, niet de verf"
33715,Illumination Panels,Coatings,Coatings,midden,Smart & Responsive,midden,,"§3.4 opgebrachte printlaag; §3.1 cement-, roest- en houtlook maakt geen ander type"
28441,IMI-Altholz,Coatings,Wood,midden,,midden,generiek,§3.1 MDF- of HPL-drager met minerale afwerklaag; §3.1 oudhoutlook maakt geen tweede type
28116,Imi-beton (concrete),Coatings,Concrete,midden,,midden,generiek,"§3.2 minerale massa met marmer blijft binnen één familie, dus geen Composites"
27973,Imi-rost,Coatings,Wood,midden,,midden,generiek,"§3.1 plaatdrager met minerale, ijzerhoudende afwerklaag"
77630,Intaglio embossed lampshade material,Coatings,Bio-based (excl. Wood),midden,,midden,generiek,§3.1 reliëfpapier draagt de identiteit; de PVC-rug is drager (§3.2 papier gaat naar Bio-based)
21208,Intexmo Wallart,Coatings,(Bio)Plastics,midden,,midden,generiek,§3.1 gegoten PU-toplaag draagt; MDF is drager. §3.1 textiellook maakt geen textiel
134824,Laser-Induced Graphene on paper,Coatings,Bio-based (excl. Wood),midden,Smart & Responsive | Material Futures,midden,,"§3.2 cellulosevezel uit papier gaat naar Bio-based; het papier draagt, de laserbehandeling is bewerking"
248,Magic Motion,Coatings,Coatings,midden,New Making | Smart & Responsive,midden,,§3.4 lenticulaire printtechniek op folie
753,Michelangelo print,Coatings,Coatings,midden,New Making,midden,,§3.4 digitale printtechnologie op glas en metaal
1989,Prefa Solar,Coatings,Metals,midden,Energy & Resilience,midden,,§3.1 aluminium dakpaneel met geïntegreerde zonnecellen; dit is geen coating
48783,Printed electronics,Coatings,Coatings,midden,Smart & Responsive | New Making,midden,,§3.4 gedrukte inktlagen; elektronica op flexibele dragers
19066,Printed relief on glass,Coatings,Coatings,midden,New Making,midden,,§3.4 opgebrachte printlaag op glas of acryl
19083,Printed relief on wood,Coatings,Coatings,midden,New Making,midden,,§3.4 2.5D-printcoating op MDF
1984,Pro Climate,Coatings,(Bio)Plastics,midden,,midden,generiek,§3.1 dakbaan met polyesterwapening; bitumen en polyester vallen beide onder polymeer (§3.2)
27666,Recycled Jeans on The Wall,Coatings,Bio-based (excl. Wood),midden,Circular | Acoustic,midden,,"§3.1 textielvezel draagt de identiteit, dit is geen coating; gerecyclede kleding, akoestisch genoemd"
1976,Rockpanel Chameleon,Coatings,Composites,midden,,midden,generiek,"§3.1 minerale vezelplaat draagt, niet de coating; mineraal en bindhars kruisen twee families (§3.2)"
132177,Sileather Consumer Electronics Collection,Coatings,(Bio)Plastics,midden,,midden,generiek,§3.3 leeralternatief krijgt zijn eigen basisstof; siliconen is een polymeer
132155,Sileather General Collection,Coatings,(Bio)Plastics,midden,,midden,generiek,§3.3 leeralternatief krijgt zijn eigen basisstof; siliconen is een polymeer
132170,Sileather Marine,Coatings,(Bio)Plastics,midden,,midden,generiek,§3.3 leeralternatief krijgt zijn eigen basisstof; siliconen is een polymeer
132182,Sileather Prints,Coatings,(Bio)Plastics,midden,,midden,generiek,§3.3 leeralternatief krijgt zijn eigen basisstof; siliconen is een polymeer
132154,Sileather Sports,Coatings,(Bio)Plastics,midden,,midden,generiek,§3.3 leeralternatief krijgt zijn eigen basisstof; siliconen is een polymeer
2149,Special Matt Film,Coatings,(Bio)Plastics,midden,,midden,generiek,§3.1 polyesterfolie draagt de identiteit; het papier is substraat
20052,Starpath,Coatings,Coatings,midden,Smart & Responsive,midden,,§3.4 nalichtend aggregaat in het oppervlak
1550,StoDeco,Coatings,Concrete,midden,,midden,generiek,§3.1 mineraalgebonden gietelement uit perliet en binder; dit is geen coating
119742,Structurally coloured bio material,Coatings,Coatings,midden,Bio-based & Living Materials | Material Futures,midden,,§3.4 structuurkleur uit bacteriën; onderzoeksfase
26075,Touch of Nature,Coatings,Coatings,midden,Bio-based & Living Materials | Circular,midden,,§3.4 gietvloersysteem uit biobased harsen met agro-reststromen
2274,UVMax,Coatings,Wood,midden,Circular,midden,,§3.1 MDF-plaat met poedercoating; 100% gerecycled hout
24,Art Ferro,Coatings,Coatings,hoog,Biophilic & Human-Centred,laag,,§3.4 pleisterlaag met metaaluiterlijk; §3.1 uiterlijk maakt geen Metals. Acoustic niet onderbouwd
1266,Decallisation,Coatings,Coatings,hoog,New Making,laag,,§3.4 opbrengmethode voor motieven; §3.1 hout- en marmermotief maakt geen ander type
37716,Line-X,Coatings,Coatings,hoog,Acoustic,laag,,§3.4 beschermcoating; geluiddemping als functie genoemd
2179,Powder Coating,Coatings,Coatings,hoog,Circular,laag,,§3.4 poedercoating; overspray wordt hergebruikt tot 95% rendement
969,Soft Feel Coating,Coatings,Coatings,hoog,Biophilic & Human-Centred,laag,,§3.4 softtouch-coating; tactiliteit
2505,Soft-Touch Coatings,Coatings,Coatings,hoog,Biophilic & Human-Centred,laag,,§3.4 softtouch-coating; tactiliteit
2726,SofTouch paint,Coatings,Coatings,hoog,Biophilic & Human-Centred,laag,,§3.4 softtouch-verf; vangregel 3 — suède- en leergevoel maakt geen Leather
2098,xceldesign,Coatings,Coatings,hoog,,laag,te weinig info,§3.4 functionele coating; excerpt te dun om channels op te baseren
15,Aquaclean,Coatings,Glass,midden,,hoog,generiek,§3.1 ingebrande laag in glas; het glas draagt de identiteit
43354,Bealstone,Coatings,Coatings,midden,,hoog,generiek,"§3.4 terrazzo-coating voor vloeren; opgebrachte laag, geen gietmateriaal"
31612,Ekotex Clean Air (Schone Lucht),Coatings,Glass,midden,Biophilic & Human-Centred,hoog,,§3.1 glasvezelbehang draagt de identiteit; luchtzuiverend in de binnenruimte
79587,100% bacterial dye,Coatings,Coatings,hoog,Bio-based & Living Materials | Material Futures,midden,,"§3.4 gegroeid pigment blijft Coatings; biobased kernpropositie, onderzoeksfase"
20548,2.5D print,Coatings,Coatings,hoog,New Making,midden,,§3.4 opgebrachte inktlaag; de printtechniek is de innovatie
127222,ALCHIMIA – Natural Yarn dyes on Milk fibre,Coatings,Coatings,hoog,Bio-based & Living Materials | Material Futures,midden,,§3.4 natuurlijke verfstof op melkeiwitgaren; onderzoeksproject
1476,Alpha Tacto,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,§3.4 effectcoating; tactiliteit expliciet genoemd (§4)
48920,AmbientPro+ graphene paint,Coatings,Coatings,hoog,Biophilic & Human-Centred | Smart & Responsive | Net Zero & Carbon,midden,,"§3.4 fotokatalytische verf; luchtkwaliteit, reageert op licht, CO2-opslag geclaimd"
59701,ARA-LT laser film,Coatings,Coatings,hoog,New Making | Material Futures,midden,,§3.4 PVD-laag via draagfolie; de overdrachttechniek is de innovatie
18548,AROMA AQ,Coatings,Coatings,hoog,Smart & Responsive,midden,,§3.4 geurinkt; microcapsules komen vrij op stimulatie
134850,Avocado Seed Bio-Ink,Coatings,Coatings,hoog,Bio-based & Living Materials | Circular,midden,,§3.4 biobased inkt uit afgedankte avocadopitten
121102,Betonlook paint,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,"§3.4 kalkverf, dampopen; §3.1 betonlook maakt geen Concrete"
121048,Bio Pigments Atelier,Coatings,Coatings,hoog,Bio-based & Living Materials | Material Futures,midden,,§3.4 pigment uit micro-algen; onderzoeksproject
46188,Bio-AmiCoFitex,Coatings,Coatings,hoog,Bio-based & Living Materials | Smart & Responsive,midden,,§3.4 coating; biobased antimicrobieel. Sustainable is een vervallend channel
28574,BioCoat,Coatings,Coatings,hoog,,midden,generiek,"§3.4 hydrofobe coating; ""completely green"" zonder onderbouwing is geen Circular (§4.1)"
76534,Chromashine,Coatings,Coatings,hoog,,midden,generiek,§3.4 metaalpigment op aluminiumbasis
1717,Ciba XYMARA Electra inks,Coatings,Coatings,hoog,Smart & Responsive,midden,,§3.4 geleidende inkt voor gedrukte circuits
135285,Circular Coated Fabrics,Coatings,Coatings,hoog,Circular | Bio-based & Living Materials | Material Futures,midden,,"§3.4 PLA-coating op folie; chemisch recyclebaar, onderzoeksproject"
103268,Claylime natural plasters,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,"§3.4 natuurlijke decoratieve pleisters; klei en kalk zijn mineraal, dus geen Bio-based (§4)"
2714,Colour Anodized Titanium,Coatings,Metals,hoog,,midden,generiek,§3.1 geanodiseerd titanium; de oxidelaag maakt geen coating-type
107262,Copperant paint,Coatings,Coatings,hoog,Bio-based & Living Materials,midden,,§3.4 verf uit natuurlijke grondstoffen. Sustainable is een vervallend channel
96120,DECOPROYEC SPRAY CORK,Coatings,Coatings,hoog,Bio-based & Living Materials | Circular,midden,,§3.4 spraykurk uit gerecycled kurkgranulaat
2691,Decoral Process,Coatings,Coatings,hoog,,midden,generiek,§3.4 sublimatie- en heat-transfercoating; §3.1 houtnerfprint maakt geen Wood
72015,Demidekk Ultimate Helmatt,Coatings,Coatings,hoog,,midden,generiek,§3.4 beits; houtbescherming is een productclaim (§5)
72006,Demidekk Ultimate Täckfärg,Coatings,Coatings,hoog,,midden,generiek,"§3.4 beits; Material Futures vervalt, dit is een marktproduct (§4.1)"
2576,Direx,Coatings,Coatings,hoog,New Making,midden,,§3.4 UV-directprint; de printtechniek is de innovatie
1807,Divine (Dischroic) Tiles,Coatings,Glass,hoog,,midden,generiek,§3.1 glastegels met dichroïsche laag; het glas draagt de identiteit
29316,Dofine stucco,Coatings,Coatings,hoog,Acoustic,midden,,§3.4 stucwerk; geluidsreductie 10-20% genoemd. Biophilic niet onderbouwd
2261,Droplet,Coatings,Composites,hoog,,midden,generiek,§3.4 gietpaneel van acryl-gemodificeerd gips — letterlijk genoemd voorbeeld
2692,Durapor & Duraseal,Coatings,Metals,hoog,,midden,generiek,§3.1 geanodiseerde aluminiumplaat; bedrukbaarheid maakt geen coating
49584,Duro loam plaster,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,"§3.4 leempleister voor het binnenklimaat; leem is mineraal, dus geen Bio-based (§4)"
2115,ECI Ceramic Coating,Coatings,Coatings,hoog,Energy & Resilience,midden,,§3.4 reflecterende dak- en wandcoating; warmtewering
121388,Econcrete,Coatings,Coatings,hoog,Circular | Net Zero & Carbon,midden,,§3.4 spraysysteem; 65% gerecycled en lage CO2. §3.1 betonlook maakt geen Concrete
93355,EKOTEX Opposites,Coatings,Composites,hoog,Circular,midden,,§3.4 glasvezelwandbekleding met biobased finish — letterlijk genoemd voorbeeld
120387,Ever Dye,Coatings,Coatings,hoog,,midden,te weinig info,"§4.1 ""sustainable"" zonder onderbouwing is geen channel; excerpt te dun"
106898,Fabulous Fungi dye,Coatings,Coatings,hoog,Bio-based & Living Materials | New Making,midden,,§3.4 schimmelpigment; levend organisme als bron
2352,Ferricon,Coatings,Coatings,hoog,Smart & Responsive,midden,,§3.4 metaalpigment; magnetisch heroriënteerbaar
129695,Fire retardant coating system (exterior),Coatings,Coatings,hoog,,midden,generiek,"§3.4 brandvertragend verfsysteem; vangregel 2 — Timber vereist een houten identiteit, een coating heeft die niet. Brandklasse is een productclaim (§5)"
129687,Fire retardant coating system (interior),Coatings,Coatings,hoog,,midden,generiek,§3.4 brandvertragend verfsysteem; vangregel 2 — Timber vereist een houten identiteit. Brandklasse is een productclaim (§5)
27411,Flax Oil Paint,Coatings,Coatings,hoog,Bio-based & Living Materials | Circular,midden,,§3.4 lijnolieverf; hernieuwbaar en biologisch afbreekbaar als expliciete claim
1762,Flow,Coatings,Composites,hoog,,midden,generiek,"§3.4 gietpaneel van gips, marmer en acrylpolymeer — letterlijk genoemd voorbeeld"
128260,Flower Power wall paint,Coatings,Coatings,hoog,Bio-based & Living Materials | Net Zero & Carbon,midden,,§3.4 99% fossielvrije muurverf; concrete CO2-claim (24 kg CO2eq per 100 kg)
119771,Food Waste Pigment,Coatings,Coatings,hoog,Bio-based & Living Materials | Circular,midden,,§3.4 pigment uit voedselreststromen
260,Fractalis Effect Paints,Coatings,Coatings,hoog,,midden,generiek,§3.4 effectverf. Biophilic niet onderbouwd
261,Fractalis Glass collection,Coatings,Coatings,hoog,,midden,generiek,§3.4 afwerkingen voor glascomponenten
120113,Fungi Force,Coatings,Coatings,hoog,Bio-based & Living Materials,midden,,§3.4 biobeits op basis van een schimmel
35540,Glow In the Dark,Coatings,Coatings,hoog,Smart & Responsive,midden,,§3.4 luminescent pigment; reageert op licht
2180,Glow-in-the-dark coatings,Coatings,Coatings,hoog,Smart & Responsive,midden,,§3.4 nalichtende coating voor weefsels
17465,Grandezza Antique brass,Coatings,Coatings,hoog,,midden,generiek,§3.4 metallic coating; §3.1 messinglook maakt geen Metals
17452,Grandezza Corten steel,Coatings,Coatings,hoog,,midden,generiek,§3.4 metallic coating; §3.1 cortenlook maakt geen Metals. Material Futures vervalt (marktproduct)
130295,Grandezza Seamless Metal-Effect Coating,Coatings,Coatings,hoog,,midden,generiek,§3.4 naadloze metaaleffect-coating; §3.1 uiterlijk maakt geen Metals
2784,Graphical Facade Coating,Coatings,Coatings,hoog,,midden,generiek,§3.4 gevelcoating-methode
113613,HAND CRAFTED LIME PLASTER,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,"§3.4 kalkstuc; 100% calciumcarbonaat is mineraal, dus geen Bio-based"
42947,Haptic 2.5D printing,Coatings,Coatings,hoog,New Making,midden,,§3.4 reliëfdruk; de vier huidige channels staan boven het maximum van drie (§4)
1342,Helicone HC,Coatings,Coatings,hoog,Smart & Responsive,midden,,§3.4 effectpigment; kleur verandert met de kijkhoek
275,Hot Stamping Foils,Coatings,Coatings,hoog,,midden,generiek,§3.4 lakoverdrachtfolie
2260,Hydrophobic & Oleophobic Coatings,Coatings,Coatings,hoog,,midden,generiek,"§3.4 nanocoating. Material Futures vervalt (marktproduct, §4.1)"
134842,Indigo & Buckthorn Bio-Ink,Coatings,Coatings,hoog,Bio-based & Living Materials,midden,,§3.4 plantaardige inkt uit indigo en duindoorn
72756,Jotun powder coating,Coatings,Coatings,hoog,,midden,generiek,§3.4 poedercoating voor hout
2398,Kabekobo Shikkui Plaster,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,§3.4 Japanse kalkpleister
129740,KEIM Lignosil-Verano,Coatings,Coatings,hoog,,midden,generiek,§3.4 silicaatbeits; §3.1 vergrijsde houtlook maakt geen Wood
2713,Kepla-coat,Coatings,Coatings,hoog,,midden,generiek,§3.4 plasmachemische coating
2520,KNOxOUT,Coatings,Coatings,hoog,Biophilic & Human-Centred | Smart & Responsive,midden,,§3.4 fotokatalytische luchtzuiverende verf
134405,Lime Putty Mortars and Paints,Coatings,Coatings,hoog,,midden,generiek,"§3.4 kalkbinder; ""sustainable"" zonder onderbouwing is geen channel (§4.1)"
2340,Liquid Glass,Coatings,Coatings,hoog,,midden,generiek,§3.4 nanocoating
82078,Living Colour,Coatings,Coatings,hoog,Bio-based & Living Materials | Material Futures,midden,,§3.4 bacteriële kleurstof; levend organisme als bron
1455,LuminOre on Glass,Coatings,Coatings,hoog,,midden,generiek,§3.4 metaalcoating op glas; §3.1 uiterlijk maakt geen Metals
1376,LuminOre on Tiles,Coatings,Coatings,hoog,,midden,generiek,§3.4 metaalcoating op tegels; §3.1 uiterlijk maakt geen Metals
128512,Léém clay plaster & paint,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,§3.4 kleipleister en -verf; dampopen binnenafwerking
1268,Magpaint,Coatings,Coatings,hoog,,midden,generiek,§3.4 verf; magnetisch ontvankelijk valt niet onder Smart & Responsive (§4)
234,Merck Effect Pigments,Coatings,Coatings,hoog,,midden,generiek,§3.4 effectpigmenten
1402,Metalspray,Coatings,Coatings,hoog,,midden,generiek,§3.4 metaalspray; §3.1 metaalcoating maakt geen Metals
2707,Mirror & Metal Glazes,Coatings,Coatings,hoog,,midden,generiek,§3.4 glazuren voor metaal- en spiegeloppervlakken. Circular niet onderbouwd
128595,MORTEX® microcement,Coatings,Coatings,hoog,,midden,generiek,§3.4 microcement als opgebrachte laag; §3.1 steen- en betonlook maakt geen ander type
134490,MYCO colorsystem,Coatings,Coatings,hoog,Bio-based & Living Materials | Circular | Material Futures,midden,,"§3.4 schimmelpigment als inkt; biologisch afbreekbaar, onderzoeksopstelling"
2693,Nano silver materials,Coatings,Coatings,hoog,Smart & Responsive,midden,,§3.4 additief en coating; antimicrobieel en geleidend
74778,Natural dye,Coatings,Coatings,hoog,Bio-based & Living Materials | Circular,midden,,§3.4 plantaardige verfstof uit seizoens- en voedselafval
135115,Natureplast,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,§3.4 kleipleister; tactiliteit en organische tinten
109074,New ICONICA Collection,Coatings,Coatings,hoog,,midden,generiek,§3.4 kleurcollectie poedercoating
1918,Pandomo wall,Coatings,Coatings,hoog,,midden,generiek,§3.4 decoratieve cementgebonden afwerklaag. Acoustic niet onderbouwd
919,Pitted Spatulata,Coatings,Coatings,hoog,,midden,generiek,§3.4 kalkstuc met marmerpoeder
90579,Plant-based paint,Coatings,Coatings,hoog,Bio-based & Living Materials,midden,,§3.4 verf met plantaardig bindmiddel
115981,Plant-Based Wood Coatings,Coatings,Coatings,hoog,Bio-based & Living Materials,midden,,§3.4 houtcoating met tot 40% plantaardige ingrediënten
93679,POLAR,Coatings,Coatings,hoog,Energy & Resilience,midden,,§3.4 poedercoating die infraroodstraling reflecteert
93648,Powder coatings Abcite® & Plascoat®,Coatings,Coatings,hoog,,midden,generiek,§3.4 thermoplastische poedercoating
119954,Primordial Pigments,Coatings,Coatings,hoog,Bio-based & Living Materials | Material Futures,midden,,§3.4 bacterieel pigment voor blokdruk; onderzoeksproject
48930,Proshield graphene paint,Coatings,Coatings,hoog,Smart & Responsive,midden,,§3.4 geleidende verf tegen elektromagnetische straling
65013,PVD coating,Coatings,Coatings,hoog,,midden,generiek,§3.4 PVD-goudcoating
87437,Raw Paint RWP100,Coatings,Coatings,hoog,,midden,te weinig info,§4.1 claims over gebruik en transport niet onderbouwd; excerpt dun
64194,Recycrom fabric dye,Coatings,Coatings,hoog,Circular | Bio-based & Living Materials,midden,,§3.4 pigmentpoeder uit textielafval. Smart & Responsive vervalt
2262,Ridge,Coatings,Composites,hoog,,midden,generiek,§3.4 acryl-gemodificeerd gips — letterlijk genoemd voorbeeld
109102,Rubio Monocoat oil Plus 2-C,Coatings,Coatings,hoog,,midden,generiek,§3.4 olie-afwerking voor hout
102894,Seaweed dye,Coatings,Coatings,hoog,Bio-based & Living Materials | Circular,midden,,§3.4 verfstof uit zeewier en zeewierreststromen
2397,Shikkui Plaster,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,§3.4 Japanse kalkpleister met natuurlijke toeslagen
1659,Silpure,Coatings,Coatings,hoog,Smart & Responsive,midden,,§3.4 antibacteriële zilverbehandeling voor textiel
42320,Skylt – invisible varnish protection,Coatings,Coatings,hoog,,midden,generiek,"§3.4 parketvernis. Material Futures vervalt (marktproduct, §4.1)"
22551,Sprayflex,Coatings,Coatings,hoog,,midden,generiek,§3.4 naadloze PU-vloer- en wandafwerking
1563,Stolotusan,Coatings,Coatings,hoog,,midden,generiek,§3.4 zelfreinigend verf- en pleistersysteem
48720,Stone Tadelakt lime plaster,Coatings,Coatings,hoog,Biophilic & Human-Centred,midden,,§3.4 kalkpleister. Circular niet onderbouwd
110964,STRATOS®,Coatings,Coatings,hoog,New Making,midden,,§3.4 2.5D-geprint afwerkoppervlak
976,Subli Tech,Coatings,Coatings,hoog,New Making,midden,,§3.4 sublimatieprint op plaatmateriaal
35197,Superblack,Coatings,Coatings,hoog,,midden,generiek,§3.4 lichtabsorberende coatings en folies. Material Futures vervalt (marktproduct)
49451,T-paint Loam textured paint,Coatings,Coatings,hoog,Biophilic & Human-Centred | Acoustic,midden,,"§3.4 leemverf; dampopen en vochtregulerend, echo-reductie genoemd. Circular niet onderbouwd"
2257,TFL Cool System,Coatings,Coatings,hoog,Energy & Resilience,midden,,§3.4 zonreflecterende kleurstoffen en pigmenten
94197,The SuprAnodic Collection,Coatings,Coatings,hoog,,midden,generiek,§3.4 anodisatiefinish voor aluminium
2022,TiColor,Coatings,Coatings,hoog,,midden,generiek,§3.4 elektrochemische titaanbehandeling
2064,Tinted carbon,Coatings,Coatings,hoog,,midden,generiek,§3.4 spuitmethode met kleur- en blanke lak op carbon
42116,Toplin Top Coat Gloss,Coatings,Coatings,hoog,Bio-based & Living Materials,midden,,§3.4 lijnolieverf; hernieuwbare plantaardige basis
126692,Traditional Indian natural dyes,Coatings,Coatings,hoog,Bio-based & Living Materials | Material Futures,midden,,§3.4 plantaardige verfstoffen; onderzoek naar klimaatbestendige verfplanten
134950,Valtti Plus Color,Coatings,Coatings,hoog,,midden,generiek,§3.4 houtbeits; UV- en vochtbescherming zijn productclaims (§5)
25765,VeroMetal,Coatings,Coatings,hoog,,midden,generiek,§3.4 metaalcoating; §3.1 metaallaag maakt geen Metals
25766,VeroMetal Applications,Coatings,Coatings,hoog,,midden,generiek,§3.4 metaalcoating; §3.1 metaallaag maakt geen Metals
